YEAR,COUNTY,DEM,REP,LIB,GRN,UNA,OTH,Total
2016,Allegany,14477,21060,245,118,6830,321,43051
2016,Anne Arundel,158739,135542,2364,821,79071,965,377502
2016,Baltimore City,308854,32337,1354,1216,45351,1504,390616
2016,Baltimore County,307392,143003,2899,1404,87703,4485,546886
2016,Calvert,23487,25817,395,146,12462,393,62700
2016,Caroline,6844,8803,112,27,3582,130,19498
2016,Carroll,32290,62535,771,250,22462,835,119143
2016,Cecil,22476,27579,399,148,13717,577,64896
2016,Charles,64092,26123,426,139,17065,489,108334
2016,Dorchester,10240,7860,105,27,2880,111,21223
2016,Frederick,60747,65905,1091,411,36035,275,164464
2016,Garrett,4425,12466,90,41,2369,153,19544
2016,Harford,63984,75417,1165,341,32287,1140,174334
2016,Howard,102742,56959,1120,473,44060,1891,207245
2016,Kent,6085,4700,56,22,1973,116,12952
2016,Montgomery,384194,121644,2760,1609,141731,4736,656674
2016,Prince George's,454428,43135,1445,942,63551,12308,575809
2016,Queen Anne's,10803,17289,211,79,6236,177,34795
2016,St. Mary's ,25690,29054,478,123,13607,420,69372
2016,Somerset,6049,5071,40,14,1695,79,12948
2016,Talbot,10030,11625,137,42,4721,192,26747
2016,Washington,32162,41912,615,241,18329,407,93666
2016,Wicomico,26134,22255,349,143,10387,444,59712
2016,Worcester,14431,16216,218,80,6721,313,37979
2016,TOTAL,2150795,1014307,18845,8857,674825,32461,3900090
