YEAR,COUNTY,DEM,REP,LIB,OTH,UNA,TOTAL
2022,Allegany,11793,22732,223,531,8337,43616
2022,Anne Arundel,173922,129893,2257,4017,96403,406492
2022,Baltimore City,303620,28211,1080,5558,56665,395134
2022,Baltimore County,309297,137378,2493,7506,106789,563463
2022,Calvert,23779,27912,410,711,15169,67981
2022,Caroline,6250,10539,108,234,4454,21585
2022,Carroll,33572,63771,797,1326,28139,127605
2022,Cecil,20666,31961,447,893,16360,70327
2022,Charles,74373,23334,425,1136,21819,121087
2022,Dorchester,9608,8965,110,246,3745,22674
2022,Frederick,76712,68334,1147,1557,48035,195785
2022,Garrett,3719,13584,101,201,2791,20396
2022,Harford,65127,80005,1182,2068,40778,189160
2022,Howard,120954,49011,894,2466,56199,229524
2022,Kent,5865,5221,66,152,2565,13869
2022,Montgomery,409636,97505,2227,7027,156978,673373
2022,Prince George's,462097,37739,1313,12115,85143,598407
2022,Queen Anne's,11102,19579,223,374,7916,39194
2022,Saint Mary's,25474,31793,477,842,16756,75342
2022,Somerset,5593,6009,61,150,2299,14112
2022,Talbot,10803,11698,139,278,5582,28500
2022,Washington,31402,43995,614,1150,21976,99137
2022,Wicomico,26749,23897,347,878,13406,65277
2022,Worcester,13864,19122,212,546,8372,42116
2022,TOTAL,2235977,992188,17353,51962,826676,4124156
