PRECINCT_CODE,SPLIT_CODE,JS_CODE,COUNTY_NAME,location_name,ra_address1,ra_city,ra_state,ra_zip,CONGRESSIONAL_DISTRICT_CODE,SENATORIAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,JUDICIAL_DISTRICT_CODE,APPELLATE_DISTRICT_CODE,MUNICIPAL_DISTRICT_CODE,COUNCILMANIC_DISTRICT_CODE,COMMISSIONER_DISTRICT_CODE,ORPHAN_DISTRICT_CODE,SCHOOL_DISTRICT_CODE,IS_SPLIT_HIDDEN,IS_POLLING_PLACE,IS_LOCATION_HIDDEN
1001,1001.1,11,FREDERICK,CARROLL MANOR ELEM SCH,5624 ADAMSTOWN RD,ADAMSTOWN,MD,21710,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
1002,1002.1,11,FREDERICK,TUSCARORA HIGH SCHOOL,5312 BALLENGER CREEK PIKE,FREDERICK,MD,21703,6,3,3,6,3,NULL,1,NULL,NULL,NULL,0,1,0
1003,1003.1,11,FREDERICK,EDWARD F FRY LIBRARY AT POINT OF ROCKS,1635 BALLENGER CREEK PIKE,POINT OF ROCKS,MD,21777,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
2001,2001.1,11,FREDERICK,LINCOLN ELEMENTARY SCHOOL,200 MADISON STREET,FREDERICK,MD,21701,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
2002,2002.1,11,FREDERICK,LINCOLN ELEMENTARY SCHOOL,200 MADISON STREET,FREDERICK,MD,21701,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2003,2003.1,11,FREDERICK,EVANGELICAL LUTHERAN CHURCH,31 E CHURCH ST,FREDERICK,MD,21701,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
2003,2003.2,11,FREDERICK,EVANGELICAL LUTHERAN CHURCH,31 E CHURCH ST,FREDERICK,MD,21701,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
2004,2004.1,11,FREDERICK,HILLCREST ELEM SCHOOL,1285 HILLCREST DR,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2005,2005.1,11,FREDERICK,WILLIAM R. TALLEY REC. CTR,121 NORTH BENTZ ST,FREDERICK,MD,21701,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2006,2006.1,11,FREDERICK,BALLENGER CREEK MIDDLE SCH,5525 BALLENGER CREEK PIKE,FREDERICK,MD,21703,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
2007,2007.1,11,FREDERICK,GOVERNOR THOMAS JOHNSON MIDDLE SCHOOL A,1799 SCHIFFERSTADT BLVD,FREDERICK,MD,21701,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
2008,2008.1,11,FREDERICK,WAVERLEY ELEM SCHOOL A,201 WAVERLEY DR,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2008,2008.2,11,FREDERICK,WAVERLEY ELEM SCHOOL A,201 WAVERLEY DR,FREDERICK,MD,21702,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
