SUMLEV,GEOCODE,GEOID,NAME,BASENAME,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,TOTAL_POP,POP_ONE_RACE,POP_WHITE,POP_BLACK,POP_NATIVE,POP_ASIAN,POP_PACIFIC,POP_OTHER_RACE,POP_TWO_MORE_RACES,POP_TWO_RACES,POP_WHITE_BLACK,POP_WHITE_NATIVE,POP_WHITE_ASIAN,POP_WHITE_PACIFIC,POP_WHITE_OTHER,POP_BLACK_NATIVE,POP_BLACK_ASIAN,POP_BLACK_PACIFIC,POP_BLACK_OTHER,POP_NATIVE_ASIAN,POP_NATIVE_PACIFIC,POP_NATIVE_OTHER,POP_ASIAN_PACIFIC,POP_ASIAN_OTHER,POP_PACIFIC_OTHER,POP_THREE_RACES,TOTAL_HOUSING,HOUSING_OCCUPIED,HOUSING_VACANT
050,0500000US24001,24001,Allegany County,Allegany,PLST,MD,000,02,2,56039,54231,48215,4923,121,603,13,356,1808,1705,355,718,111,3,438,30,4,5,24,8,0,4,2,1,2,99,32911,27596,5315
050,0500000US24003,24003,Anne Arundel County,Anne Arundel,PLST,MD,000,02,3,456018,426068,305168,79204,1795,20601,349,18951,29950,27813,3545,5082,3497,210,12411,769,528,52,1084,33,5,283,158,115,41,1855,233130,219971,13159
050,0500000US24005,24005,Baltimore County,Baltimore,PLST,MD,000,02,4,669511,635625,375153,192662,2650,42424,237,22499,33886,31543,4849,5420,3259,156,12949,1529,687,116,1802,102,9,337,78,200,50,2027,350163,329964,20199
050,0500000US24009,24009,Calvert County,Calvert,PLST,MD,000,02,5,70925,66635,54604,9609,236,1261,47,878,4290,3975,581,1150,487,47,1451,105,49,0,74,0,0,5,19,5,2,272,35663,32754,2909
050,0500000US24011,24011,Caroline County,Caroline,PLST,MD,000,02,6,25372,24156,19438,3319,105,245,16,1033,1216,1145,166,341,68,1,452,20,6,2,31,3,0,44,3,8,0,59,13434,12327,1107
050,0500000US24013,24013,Carroll County,Carroll,PLST,MD,000,02,7,135048,128857,118552,5119,314,2851,33,1988,6191,5896,611,1769,674,40,2569,44,35,0,88,16,0,15,14,21,0,269,65793,63050,2743
050,0500000US24015,24015,Cecil County,Cecil,PLST,MD,000,02,8,80465,75960,67421,5852,235,1037,20,1395,4505,4288,513,1551,307,24,1689,77,26,7,82,0,0,0,3,0,9,179,43941,39398,4543
050,0500000US24017,24017,Charles County,Charles,PLST,MD,000,02,9,126667,118669,48247,61035,1021,4494,125,3747,7998,7095,1406,1015,630,46,2142,843,254,32,613,25,0,25,43,18,3,825,62123,59107,3016
050,0500000US24019,24019,Dorchester County,Dorchester,PLST,MD,000,02,10,25733,24633,16876,6752,115,275,9,606,1100,1022,239,271,50,3,360,37,0,0,41,0,0,7,2,1,11,57,16383,13721,2662
050,0500000US24021,24021,Frederick County,Frederick,PLST,MD,000,02,11,207660,192568,151654,20093,874,10127,134,9686,15092,14286,1647,2291,1355,71,7762,227,130,16,442,27,0,179,51,79,9,684,103493,98358,5135
050,0500000US24023,24023,Garrett County,Garrett,PLST,MD,000,02,12,23335,22756,22375,184,33,68,7,89,579,544,33,280,35,10,161,2,3,5,7,0,0,1,7,0,0,29,18407,11954,6453
050,0500000US24025,24025,Harford County,Harford,PLST,MD,000,02,13,202309,191471,153311,27243,551,6365,142,3859,10838,10147,1397,2594,1129,62,4022,285,107,21,379,18,0,45,36,46,6,609,103284,98282,5002
050,0500000US24027,24027,Howard County,Howard,PLST,MD,000,02,14,251136,235154,129822,47069,810,48638,107,8708,15982,14764,2124,1450,2195,68,6793,476,335,20,798,51,4,201,100,129,20,1055,123202,118781,4421
050,0500000US24029,24029,Kent County,Kent,PLST,MD,000,02,15,16164,15451,12652,2230,36,220,0,313,713,661,69,169,27,2,338,23,0,0,7,0,2,15,9,0,0,40,10286,8075,2211
050,0500000US24031,24031,Montgomery County,Montgomery,PLST,MD,000,02,16,819119,740382,373261,147983,5234,131059,462,82383,78737,73939,5765,3102,7381,188,48289,1129,897,121,4178,129,18,1778,313,544,107,4097,404423,386931,17492
050,0500000US24033,24033,Prince George's County,Prince George's,PLST,MD,000,02,17,756049,704833,107294,460461,6545,35378,435,94720,51216,46879,5981,1835,2408,97,21136,3708,1358,209,6801,89,14,2647,153,307,136,3748,359957,342216,17741
050,0500000US24035,24035,Queen Anne's County,Queen Anne's,PLST,MD,000,02,18,39108,37438,33774,2280,119,466,14,785,1670,1602,168,456,173,11,703,20,3,4,15,11,0,27,9,0,2,53,21274,19240,2034
050,0500000US24037,24037,St. Mary's County,St. Mary's,PLST,MD,000,02,19,86370,80954,63955,12330,349,2707,76,1537,5416,4995,710,1233,702,44,1889,158,75,9,117,6,3,16,20,8,5,369,45560,41845,3715
050,0500000US24039,24039,Somerset County,Somerset,PLST,MD,000,02,20,20381,19763,11060,7947,102,204,1,449,618,569,130,226,40,6,103,30,3,0,27,2,0,1,0,1,0,45,10895,8334,2561
050,0500000US24041,24041,Talbot County,Talbot,PLST,MD,000,02,21,30682,29293,24183,3381,106,406,12,1205,1389,1320,138,258,79,1,729,40,0,0,41,4,0,18,4,4,4,52,19538,16296,3242
