COUNTY,POP2020
Allegany ,68106
Anne Arundel ,588261
Baltimore City,585708
Baltimore County,854535
Calvert ,92783
Caroline ,33293
Carroll ,172891
Cecil ,103725
Charles ,166617
Dorchester ,32531
Frederick ,271717
Garrett ,28806
Harford ,260924
Howard ,332317
Kent ,19198
Montgomery ,1062061
Prince George's ,967201
Queen Anne's ,49874
St. Mary's ,113777
Somerset ,24620
Talbot ,37526
Washington ,154705
Wicomico ,103588
Worcester ,52460
