COUNTY,F,M,U,TOTAL,PCT_M,PCT_F
Allegany,4733,4991,36,9760,51.13729508196722,48.493852459016395
Anne Arundel,54630,60491,836,115957,52.16675146821667,47.11229162534388
Baltimore City,30851,37180,783,68814,54.02970325805795,44.83244688580812
Baltimore County,59792,66717,842,127351,52.388281207057666,46.95055398073042
Calvert,8857,9222,89,18168,50.75957727873184,48.75055041831792
Caroline,2768,2530,19,5317,47.58322362234343,52.059432010532255
Carroll,15720,16426,167,32313,50.83402964751029,48.64915049670412
Cecil,9383,9486,92,18961,50.029006908918305,49.48578661463003
Charles,12879,14396,101,27376,52.58620689655172,47.044856808883694
Dorchester,2305,2245,21,4571,49.113979435572084,50.42660249398381
Frederick,27437,30343,372,58152,52.178772871096434,47.18152428119411
Garrett,1646,1712,18,3376,50.71090047393365,48.75592417061612
Harford,23465,25203,213,48881,51.55991080378879,48.0043370634807
Howard,30027,36337,512,66876,54.33488845026616,44.89951552126323
Kent,1482,1503,20,3005,50.01663893510815,49.31780366056572
Montgomery,86771,103694,1099,191564,54.13021235722787,45.29608903551816
Prince George's,48085,59508,497,108090,55.0541215653622,44.48607641779998
Queen Anne's,4617,4775,49,9441,50.57726935705963,48.90371782650143
Saint Mary's,9889,10535,48,20472,51.460531457600624,48.30500195388824
Somerset,1310,1360,9,2679,50.7652108995894,48.89884285181038
Talbot,3172,3311,35,6518,50.797790733353786,48.66523473458116
Washington,13668,13641,200,27509,49.58740775746119,49.685557453924176
Wicomico,8231,8005,83,16319,49.053250811937005,50.43813959188675
Worcester,4798,5103,46,9947,51.30190007037297,48.235648939378706
