SUMLEV,GEOCODE,GEOID,NAME,BASENAME,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,TOTAL_POP,POP_ONE_RACE,POP_WHITE,POP_BLACK,POP_NATIVE,POP_ASIAN,POP_PACIFIC,POP_OTHER_RACE,POP_TWO_MORE_RACES,POP_TWO_RACES,POP_WHITE_BLACK,POP_WHITE_NATIVE,POP_WHITE_ASIAN,POP_WHITE_PACIFIC,POP_WHITE_OTHER,POP_BLACK_NATIVE,POP_BLACK_ASIAN,POP_BLACK_PACIFIC,POP_BLACK_OTHER,POP_NATIVE_ASIAN,POP_NATIVE_PACIFIC,POP_NATIVE_OTHER,POP_ASIAN_PACIFIC,POP_ASIAN_OTHER,POP_PACIFIC_OTHER,POP_THREE_RACES
700,2400101-000,7000000US2400101-000,Allegany Precinct 01-000,Allegany Precinct 01-000,PLST,MD,0,1,24533,820,788,777,6,0,2,2,1,32,30,5,12,2,0,10,0,0,0,0,0,0,1,0,0,0,2
700,2400102-000,7000000US2400102-000,Allegany Precinct 02-000,Allegany Precinct 02-000,PLST,MD,0,1,24534,996,967,958,7,1,0,1,0,29,28,1,13,1,0,11,0,0,0,0,2,0,0,0,0,0,1
700,2400103-000,7000000US2400103-000,Allegany Precinct 03-000,Allegany Precinct 03-000,PLST,MD,0,1,24535,1042,1009,994,7,0,3,1,4,33,33,4,19,1,0,6,2,0,0,1,0,0,0,0,0,0,0
700,2400104-002,7000000US2400104-002,Allegany Precinct 04-002,Allegany Precinct 04-002,PLST,MD,0,1,24536,1363,1255,1115,125,4,4,0,7,108,104,48,38,0,0,15,0,0,0,3,0,0,0,0,0,0,4
700,2400104-003,7000000US2400104-003,Allegany Precinct 04-003,Allegany Precinct 04-003,PLST,MD,0,1,24537,1781,1604,1462,114,12,9,0,7,177,169,106,38,1,0,18,0,0,0,6,0,0,0,0,0,0,7
700,2400104-004,7000000US2400104-004,Allegany Precinct 04-004,Allegany Precinct 04-004,PLST,MD,0,1,24538,1887,1790,1693,69,4,8,0,16,97,88,41,17,1,0,26,1,0,0,0,2,0,0,0,0,0,9
700,2400104-005,7000000US2400104-005,Allegany Precinct 04-005,Allegany Precinct 04-005,PLST,MD,0,1,24539,1105,1011,953,38,2,3,0,15,94,90,33,42,1,0,10,0,0,0,3,0,0,0,0,1,0,4
700,2400104-008,7000000US2400104-008,Allegany Precinct 04-008,Allegany Precinct 04-008,PLST,MD,0,1,24540,2091,1960,1836,98,6,13,0,7,131,128,64,30,15,0,15,1,0,2,0,0,0,0,1,0,0,3
700,2400105-004,7000000US2400105-004,Allegany Precinct 05-004,Allegany Precinct 05-004,PLST,MD,0,1,24541,1735,1647,1509,97,3,11,0,27,88,84,40,24,3,0,14,2,0,0,1,0,0,0,0,0,0,3
700,2400105-006,7000000US2400105-006,Allegany Precinct 05-006,Allegany Precinct 05-006,PLST,MD,0,1,24542,779,748,728,9,1,3,0,7,31,29,5,16,3,0,5,0,0,0,0,0,0,0,0,0,0,2
700,2400106-001,7000000US2400106-001,Allegany Precinct 06-001,Allegany Precinct 06-001,PLST,MD,0,1,24543,1759,1659,1501,115,3,27,0,13,100,90,35,14,12,0,24,0,0,1,4,0,0,0,0,0,0,10
700,2400106-003,7000000US2400106-003,Allegany Precinct 06-003,Allegany Precinct 06-003,PLST,MD,0,1,24544,929,856,789,50,1,11,0,5,73,71,34,19,3,0,9,3,0,0,2,0,0,1,0,0,0,2
700,2400106-005,7000000US2400106-005,Allegany Precinct 06-005,Allegany Precinct 06-005,PLST,MD,0,1,24545,1361,1308,1192,40,2,63,2,9,53,45,22,10,3,0,10,0,0,0,0,0,0,0,0,0,0,8
700,2400106-006,7000000US2400106-006,Allegany Precinct 06-006,Allegany Precinct 06-006,PLST,MD,0,1,24546,1875,1767,1697,44,0,9,1,16,108,105,34,35,12,3,9,3,0,3,2,4,0,0,0,0,0,3
700,2400106-099,7000000US2400106-099,Allegany Precinct 06-099,Allegany Precinct 06-099,PLST,MD,0,1,24547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,2400107-001,7000000US2400107-001,Allegany Precinct 07-001,Allegany Precinct 07-001,PLST,MD,0,1,24548,5068,4972,2514,2294,20,27,0,117,96,92,26,48,4,0,13,0,0,0,0,0,0,1,0,0,0,4
700,2400107-002,7000000US2400107-002,Allegany Precinct 07-002,Allegany Precinct 07-002,PLST,MD,0,1,24549,2147,2059,1976,22,0,55,0,6,88,86,31,30,8,0,17,0,0,0,0,0,0,0,0,0,0,2
700,2400108-000,7000000US2400108-000,Allegany Precinct 08-000,Allegany Precinct 08-000,PLST,MD,0,1,24550,3232,3130,3089,20,5,8,0,8,102,99,21,28,7,2,37,2,0,0,2,0,0,0,0,0,0,3
700,2400109-000,7000000US2400109-000,Allegany Precinct 09-000,Allegany Precinct 09-000,PLST,MD,0,1,24551,1247,1229,1226,3,0,0,0,0,18,15,5,7,0,0,3,0,0,0,0,0,0,0,0,0,0,3
