jurisdiction,cox_schulz_diff
Allegany,30.58400221422641
Anne Arundel,-1.4321953281894118
Baltimore City,-5.822168087697932
Baltimore County,-0.31161697520268317
Calvert,23.978494623655923
Caroline,27.890818858560788
Carroll,2.2005584212767992
Cecil,17.13929219600726
Charles,32.16043755697356
Dorchester,44.44127708095781
Frederick,5.799971707455093
Garrett,38.079969822708414
Harford,9.4819391634981
Howard,-12.485199315879486
Kent,-8.349236641221381
Montgomery,1.0215808964372353
Prince George's,12.44747138095928
Queen Anne's,8.100558659217876
Saint Mary's,13.529563645752646
Somerset,62.13776722090262
Talbot,8.254918733960647
Washington,17.991631799163176
Wicomico,28.602799890200387
Worcester,27.377020684860078
