RESIDENTIALZIP5,DEM,LIB,OIN,OTH,REP,UNA,NLM,OBAR,OFR,OGRN,OWCP,OCN,ORE,OCON,OTP,OCS,OBM,ORL,OWO,OAM,OSC,OPOP,OLIR,OID,OSD,OAI,OAL,OPAT,OCO,OWH,OCH,OAS,OAN,ONAS,OPE,OFCH,ONP,ONL,TOTAL,PCT_DEM,PCT_REP,PCT_UNA
19973,53,2,1,4,214,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,15.31791908,61.84971098,20.80924855
20601,13896,86,26,163,3180,4259,20,3,1,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21679,64.09889755,14.66857327,19.64574012
20602,14267,56,16,156,2099,4012,22,2,0,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20659,69.05948981,10.16022073,19.42010746
20603,18322,99,16,151,2669,5251,18,1,0,25,25,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26582,68.92634113,10.040629,19.75396885
20604,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72.72727273,0,27.27272727
20606,89,2,2,3,126,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,33.33333333,47.19101124,16.85393258
20607,8222,34,72,62,851,1856,12,1,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11135,73.83924562,7.642568478,16.66816345
20608,402,3,6,7,153,122,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,57.84172662,22.01438849,17.55395683
20609,273,4,0,7,468,145,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,30.36707453,52.05784205,16.12903226
20611,345,9,0,10,344,197,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,37.99559471,37.88546256,21.69603524
20612,41,1,1,2,83,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,24.11764706,48.82352941,24.70588235
20613,10965,36,91,120,1618,2487,10,0,0,15,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15354,71.41461508,10.53797056,16.19773349
20615,88,1,0,2,185,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,25.43352601,53.46820809,19.94219653
