YEAR,COUNTY,DEM,REP,LIB,OTH,UNA,TOTAL
2020,Allegany,12820,22530,204,508,7674,43736
2020,Anne Arundel,174494,135457,1922,3581,90162,405616
2020,Baltimore City,311610,30163,951,4511,52450,399685
2020,Baltimore County,313870,142534,2227,7201,100576,566408
2020,Calvert,24587,28181,332,706,14178,67984
2020,Caroline,6629,10039,86,215,4208,21177
2020,Carroll,33662,63967,670,1292,25770,125361
2020,Cecil,21601,30880,341,887,15110,68819
2020,Charles,72416,24711,349,977,19849,118302
2020,Dorchester,9848,8730,78,183,3348,22187
2020,Frederick,72487,68767,936,1205,42961,186356
2020,Garrett,3990,13318,86,189,2600,20183
2020,Harford,66258,80038,966,1888,37942,187092
2020,Howard,118705,52748,812,2460,51909,226634
2020,Kent,6008,4996,50,148,2293,13495
2020,Montgomery,410935,105561,2030,7255,147417,673198
2020,Prince George's,474841,40095,1177,12314,78012,606439
2020,Queen Anne's,11091,18930,188,336,7133,37678
2020,St. Mary's,26373,30661,375,763,15661,73833
2020,Somerset,5704,5713,48,124,2048,13637
2020,Talbot,10749,11711,118,294,5122,27994
2020,Washington,32791,44161,513,1072,20509,99046
2020,Wicomico,27194,23646,312,794,12291,64237
2020,Worcester,14134,18275,179,512,7565,40665
2020,TOTAL,2262797,1015812,14950,49415,766788,4109762
