Candidate,Early Voting,Election Day,Mail,Votes
Michael Peroutka,131551,451685,24669,606557
Dan Cox,123287,424837,22112,569450
Barry Glassman,142726,484892,28656,655379
Chris Chaffee,130458,447330,23561,600543
