jurisdiction,cox,ficker,schulz,werner
Allegany,4469,399,2259,99
Anne Arundel,18039,711,18581,513
Baltimore City,1771,168,2010,156
Baltimore County,18129,842,18247,649
Calvert,6081,335,3628,186
Caroline,2533,49,1409,39
Carroll,10462,404,9997,268
Cecil,4998,203,3487,128
Charles,3473,176,1709,127
Dorchester,2475,75,916,42
Frederick,10895,418,9665,229
Garrett,3474,318,1455,55
Harford,15669,521,12876,390
Howard,6320,361,8218,303
Kent,921,48,1096,31
Montgomery,10876,1299,10636,682
Prince George's,3466,471,2607,357
Queen Anne's,3233,62,2740,51
Saint Mary's,6264,354,4692,309
Somerset,1664,52,356,33
Talbot,2463,92,2077,44
Washington,7675,525,5224,199
Wicomico,4517,227,2433,109
Worcester,3548,157,1973,75
