YEAR,COUNTY,DEM,REP,LIB,UNA,OTH,TOTAL
2024,ALLEGANY,10827,22824,266,8786,600,43303
2024,ANNE ARUNDEL,170657,128052,2511,103138,4593,408951
2024,BALTIMORE CITY,294942,28293,1180,61098,5944,391457
2024,BALTIMORE CO.,307069,138092,2694,117815,8234,573904
2024,CALVERT,23236,28005,454,16231,771,68697
2024,CAROLINE,5964,10691,125,4861,280,21921
2024,CARROLL,33081,63510,834,29982,1402,128809
2024,CECIL,19062,35071,477,17112,985,72707
2024,CHARLES,74821,23027,443,24453,1287,124031
2024,DORCHESTER,9498,9341,110,4251,278,23478
2024,FREDERICK,77691,68073,1260,53044,1858,201926
2024,GARRETT,3465,13716,110,3034,221,20546
2024,HARFORD,64201,80792,1285,44680,2393,193351
2024,HOWARD,121928,48237,967,61785,2654,235571
2024,KENT,5730,5335,70,2788,152,14075
2024,MONTGOMERY,405476,98097,2416,170519,7524,684032
2024,PR. GEORGE'S,451183,38584,1536,96352,12661,600316
2024,QUEEN ANNE'S,11110,20206,235,8809,410,40770
2024,ST. MARY'S,24533,31960,495,17625,867,75480
2024,SOMERSET,5382,6185,71,2530,182,14350
2024,TALBOT,10599,11704,169,6062,292,28826
2024,WASHINGTON,30423,44115,658,23554,1227,99977
2024,WICOMICO,25911,24020,377,14929,954,66191
2024,WORCESTER,13469,19381,236,8969,581,42636
2024,TOTAL,2200258,997311,18979,902407,56350,4175305
