COUNTY,F,M,U,TOTAL,PCT_M,PCT_F
Allegany,4379,4592,27,8998,51.033563014003114,48.666370304512114
Anne Arundel,50026,55546,568,106140,52.3327680422084,47.132089692858486
Baltimore City,27500,33607,633,61740,54.43310657596372,44.54162617427924
Baltimore County,54662,61466,600,116728,52.657460078130356,46.82852443286958
Calvert,8197,8496,58,16751,50.71936003820667,48.93439197659841
Caroline,2521,2291,14,4826,47.472026523000416,52.23787815996685
Carroll,14861,15477,97,30435,50.85263676688023,48.82865122391983
Cecil,8911,8990,104,18005,49.93057484032214,49.49180783115801
Charles,11374,12716,73,24163,52.62591565616852,47.0719695402061
Dorchester,2050,1993,19,4062,49.064500246184146,50.46774987690793
Frederick,24580,27521,236,52337,52.584213844889845,46.96486233448612
Garrett,1461,1585,13,3059,51.814318404707414,47.76070611310886
Harford,21359,23124,148,44631,51.81152114001479,47.85687078488046
Howard,27330,33333,312,60975,54.666666666666664,44.82164821648216
Kent,1342,1392,18,2752,50.58139534883721,48.76453488372093
Montgomery,77993,94046,663,172702,54.45565193223009,45.16044979212748
Prince George's,40548,51165,264,91977,55.628037444143644,44.08493427704752
Queen Anne's,4111,4424,30,8565,51.652072387624045,47.997664915353184
Saint Mary's,8884,9532,0,18416,51.75933970460469,48.24066029539531
Somerset,1195,1217,6,2418,50.33085194375517,49.421009098428456
Talbot,2941,3068,20,6029,50.887377674572896,48.780892353624154
Washington,12229,12305,173,24707,49.803699356457685,49.4960942243089
Wicomico,7369,7199,74,14642,49.16678049446797,50.327824067750306
Worcester,4419,4689,36,9144,51.27952755905512,48.326771653543304
