RESIDENTIALZIP5,DEM,LIB,OIN,OTH,REP,UNA,GRN,OBAR,OFR,WCP,OCN,ORE,OCON,OTP,OBM,ORL,OLIR,OCS,OWO,OAM,OPOP,OAL,OPE,OAI,OSD,OSC,OPAT,OWH,OCO,OID,OCH,OAS,OAN,ONAS,ONL,OFCH,ONP,OTX,TOTAL,PCT_DEM,PCT_REP,PCT_UNA
19973,50,1,1,3,198,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,15.52795031,61.49068323,21.42857143
20601,13708,72,34,137,3103,3779,25,3,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20888,65.62619686,14.85541938,18.09172731
20602,14278,55,20,121,2080,3570,20,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20170,70.78829945,10.31234507,17.69955379
20603,18038,91,20,123,2648,4699,29,1,0,33,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25687,70.22229143,10.30871647,18.29330011
20604,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,87.5,0,12.5
20606,94,1,2,2,114,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,36.8627451,44.70588235,16.07843137
20607,8001,28,78,50,821,1590,16,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10595,75.51675319,7.748938178,15.00707881
20608,387,2,5,6,145,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,59.08396947,22.13740458,16.64122137
20609,299,4,0,7,442,140,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,33.44519016,49.44071588,15.65995526
20611,332,6,0,9,337,177,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,38.42592593,39.00462963,20.48611111
20612,43,1,0,2,77,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,25.29411765,45.29411765,27.05882353
20613,10119,29,104,98,1580,2007,16,0,0,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13970,72.43378669,11.30994989,14.36649964
20615,92,2,0,2,176,67,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,26.97947214,51.61290323,19.64809384
20616,3977,14,1,30,606,954,6,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,71.01785714,10.82142857,17.03571429
20617,288,1,4,3,262,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,40.6779661,37.00564972,21.04519774
20618,371,4,3,5,289,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,45.91584158,35.76732673,16.70792079
20619,3443,77,9,73,3899,2678,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10202,33.74828465,38.21799647,26.24975495
20620,323,2,2,9,475,289,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,29.25724638,43.02536232,26.17753623
20621,337,0,2,6,417,144,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,37.11453744,45.92511013,15.85903084
20622,1132,18,5,14,1663,737,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574,31.6731953,46.53049804,20.62115277
20623,2055,5,32,13,148,261,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,81.54761905,5.873015873,10.35714286
20624,231,6,0,2,450,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,27.86489747,54.28226779,16.76718938
20625,179,3,2,3,297,152,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,28.05642633,46.55172414,23.82445141
20626,118,1,1,2,133,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,38.43648208,43.32247557,16.61237785
20628,137,2,1,1,187,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,32.61904762,44.52380952,21.42857143
20630,147,5,2,4,243,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,29.28286853,48.4063745,19.92031873
20632,121,2,0,4,161,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,32.88043478,43.75,21.73913043
20634,2127,38,10,27,1627,1250,11,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5098,41.72224402,31.91447627,24.51941938
20636,2157,45,11,52,4075,1817,9,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8175,26.3853211,49.8470948,22.22629969
20637,2192,22,14,30,1732,1018,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5022,43.64794902,34.48825169,20.27080844
