GEOID,COUNTY NAME,DEM_SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
24001,ALLEGANY,2131,1744,619,4494,1440,1126,361,2927
24003,ANNE ARUNDEL,39504,14826,13947,68277,20308,7262,5733,33303
24510,BALTIMORE CITY,48506,2590,5028,56124,25296,1201,1839,28336
24005,BALTIMORE COUNTY,61481,15912,12924,90317,36470,9202,6095,51767
24009,CALVERT,5286,3026,1793,10105,3150,1698,889,5737
24011,CAROLINE,776,586,294,1656,503,344,168,1015
24013,CARROLL,7846,5756,3009,16611,4713,3292,1523,9528
24015,CECIL,3293,2365,1200,6858,1987,1319,595,3901
24017,CHARLES,10035,2023,1874,13932,5498,1108,805,7411
24019,DORCHESTER,1528,703,266,2497,1040,496,149,1685
24021,FREDERICK,17265,6265,5083,28613,9323,3248,2272,14843
24023,GARRETT,786,938,191,1915,543,560,107,1210
24025,HARFORD,11210,6662,3924,21796,6541,3816,1976,12333
24027,HOWARD,25805,5865,7424,39094,13552,3020,3342,19914
24029,KENT,1288,468,269,2025,912,289,145,1346
24031,MONTGOMERY,101908,13573,22756,138237,36887,4793,6925,48605
24033,PRINCE GEORGE'S,68044,3805,8026,79875,33735,1789,2877,38401
24035,QUEEN ANNE'S,2169,1429,720,4318,1432,889,394,2715
24037,SAINT MARY'S,4409,2655,1500,8564,2601,1461,688,4750
24039,SOMERSET,683,426,181,1290,472,280,103,855
24041,TALBOT,2537,1242,853,4632,1733,763,474,2970
24043,WASHINGTON,5837,3512,2096,11445,3811,2215,1113,7139
24045,WICOMICO,3871,1947,1025,6843,2373,1169,530,4072
24047,WORCESTER,2810,1856,932,5598,2005,1265,547,3817
