zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
21163,24027,312.6858949661255,7158,1.2489001,0.04504,NA,1.3721,1.61303,0.02228,NA,1.73482,1.33872,1.5712399,NA,-0.02493,-0.10411,NA,NA,0.09285,0.76085001,0.070299998,0.019540001
21201,24510,2239.724873244762,17136,0.81287003,0.01281,0.48758,0.81705999,1.49113,0.01253,1.3459700000000001,1.57148,0.95512998,1.45557,1.05566,0.14455999,-0.079630002,0.53812999,-0.27500999,0.082139999,0.72913998,0.075470001,0.01286
21202,24510,3019.507752418518,21010,0.85137999,0.01227,0.50844997,0.86026001,1.5003099,0.0114,1.17586,1.56257,1.0115,1.46264,1.07436,0.14951999,-0.068319999,0.52674001,-0.09448,0.080030002,0.69538999,0.08044,0.16396999
21204,24005,360.5736517906189,21628,1.0730799,0.02022,NA,1.17932,1.62454,0.01475,NA,1.64212,1.16988,1.5477099,NA,-0.0080700004,-0.061000001,NA,NA,0.092950001,0.67341,0.066100001,0.020059999
21205,24510,5379.067245483398,14580,0.67624003,0.01162,0.29892001,0.62774998,1.1373399,0.02406,0.59226,1.23737,0.75673997,1.16958,0.51043999,0.17045,-0.057969999,0.41438001,-0.1603,0.071680002,0.79900998,0.035659999,0.0066200001
21206,24510,7889.120662689209,51561,0.71886998,0.0086399997,0.57011998,0.72083998,1.10753,0.01378,0.82678998,1.17908,0.83952999,1.13449,0.79575002,0.14138,-0.039299998,0.28354999,-0.039000001,0.074469998,0.83753002,0.042509999,0.0085800001
21207,24005,7608.808410644531,47687,0.79749,0.0090800002,0.52929997,0.81673002,1.16021,0.01525,0.71562999,1.21003,0.88207,1.15724,0.70217001,0.074069999,-0.045609999,0.2462,-0.019169999,0.076229997,0.83012998,0.03638,0.0075099999
21208,24005,2690.91411588341,36441,0.91690999,0.01525,1.15141,1.05822,1.42845,0.01457,1.52281,1.49087,1.07093,1.39868,1.27772,0.01187,-0.065920003,0.098860003,-0.19181,0.084090002,0.86546999,0.064620003,0.01825
21209,24510,1322.69282416068,28015,0.95529002,0.027000001,NA,1.11645,1.43064,0.01508,NA,1.59604,1.06155,1.47128,NA,-0.051720001,-0.084799998,NA,NA,0.087200001,0.86550999,0.092929997,0.0088200001
21210,24510,265.196095764637,15213,1.0532399,0.047389999,NA,1.11252,1.64378,0.018300001,NA,1.68384,1.14266,1.60648,NA,0.02637,-0.048149999,NA,NA,0.083240002,0.62340999,0.11727,0.036309998
