PRECINCT_CODE,COUNTY_CODE,LOCATION_NAME,RA_ADDRESS1,RA_CITY,RA_STATE,RA_ZIP,CONGRESSIONAL_DISTRICT_CODE,SENATORIAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,JUDICIAL_DISTRICT_CODE,APPELLATE_DISTRICT_CODE,IS_POLLING_PLACE
1000,1,ORLEANS VOLUNTEER FIRE DEPT.,"12210 ORLEANS ROAD, NE",LITTLE ORLEANS,MD,21766,6,1,01C,4,3,1
10000,1,WESTMAR MIDDLE SCHOOL GYM,"16915 LOWER GEORGES CREEK ROAD, SW",LONACONING,MD,21539,6,1,01A,4,3,1
11000,1,FROST ELEMENTARY SCHOOL,260 SHAW STREET,FROSTBURG,MD,21532,6,1,01B,4,3,1
12000,1,MOUNTAIN RIDGE HIGH SCHOOL GYM,100 DR. NANCY S. GRASMICK LANE,FROSTBURG,MD,21532,6,1,01B,4,3,1
13000,1,MT. SAVAGE SCHOOL,"13201 NEW SCHOOL ROAD, NW",MT. SAVAGE,MD,21545,6,1,01B,4,3,1
14000,1,TRINITY LUTHERAN CHURCH,326 N CENTRE ST,CUMBERLAND,MD,21502,6,1,01B,4,3,1
16001,1,DEPARTMENT OF EMERGENCY SERVICES,11400 PPG ROAD SE,CUMBERLAND,MD,21502,6,1,01C,4,3,1
16002,1,DEPARTMENT OF EMERGENCY SERVICES,11400 PPG ROAD SE,CUMBERLAND,MD,21502,6,1,01B,4,3,1
18000,1,MIDLAND FIRE HALL,14823 BROADWAY AVE SW,MIDLAND,MD,21532,6,1,01B,4,3,1
2000,1,OLDTOWN VOLUNTEER FIRE DEPT.,18712 OLDTOWN ROAD SE,OLDTOWN,MD,21555,6,1,01C,4,3,1
20000,1,ELLERSLIE VOLUNTEER FIRE DEPARTMENT,14200 ELLERSLIE ROAD NW,ELLERSLIE,MD,21529,6,1,01B,4,3,1
21000,1,BALTIMORE PIKE VOL. FIRE DEPT.,"15010 BALTIMORE PIKE, NE",CUMBERLAND,MD,21502,6,1,01C,4,3,1
22000,1,ALLEGANY COLLEGE OF MARYLAND,"12401 WILLOWBROOK RD SE, CE RM 14",CUMBERLAND,MD,21502,6,1,01B,4,3,1
23000,1,ST. LUKES LUTHERAN CHURCH,1601 FREDERICK STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
24000,1,ECKHART SCHOOL,"17000 NATIONAL HIGHWAY, SW",ECKHART,MD,21528,6,1,01B,4,3,1
26000,1,FROSTBURG COMMUNITY CENTER,27 WATER STREET,FROSTBURG,MD,21532,6,1,01A,4,3,1
29001,1,LAVALE VOL. FIRE DEPART #1,421 NATIONAL HIGHWAY,LAVALE,MD,21502,6,1,01B,4,3,1
29002,1,PARKSIDE ELEMENTARY SCHOOL,50 PARKSIDE BLVD.,LAVALE,MD,21502,6,1,01B,4,3,1
29003,1,CHRIST LUTHERAN CHURCH,1222 VOCKE RD,LAVALE,MD,21502,6,1,01B,4,3,1
3000,1,FLINTSTONE VOLUNTEER FIRE DEPARTMENT,21701 FLINTSTONE DRIVE NE,FLINTSTONE,MD,21530,6,1,01C,4,3,1
31000,1,DANVILLE COMMUNITY CHURCH,"18800 MIDDLE RIDGE ROAD, SW",RAWLINGS,MD,21557,6,1,01A,4,3,1
34000,1,BEDFORD RD. FIRE DEPARTMENT,13200 BEDFORD RD. NE,CUMBERLAND,MD,21502,6,1,01B,4,3,1
4002,1,LIVING STONE CHURCH OF BRETHREN,114 NORTH CEDAR STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
4003,1,SOUTH PENN ELEMENTARY SCHOOL,500 EAST SECOND STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
4004,1,FORT HILL HIGH SCHOOL,500 GREENWAY AVENUE,CUMBERLAND,MD,21502,6,1,01B,4,3,1
4005,1,EMMANUEL BETHEL U.M. CHURCH,24 HUMBIRD STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
4008,1,WASHINGTON MIDDLE SCHOOL,200 N MASSACHUSETTS AVE,CUMBERLAND,MD,21502,6,1,01B,4,3,1
5004,1,BRADDOCK MIDDLE SCHOOL,909 HOLLAND STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
5006,1,BOWMANS  ADDITION FIRE HALL,"11710 BOARDWALK AVENUE, NE",CUMBERLAND,MD,21502,6,1,01B,4,3,1
6001,1,EMMANUEL EPISCOPAL PARISH HALL,16 WASHINGTON STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
6003,1,WEST SIDE ELEMENTARY SCHOOL (MAIN ENTRANCE),425 PACA STREET,CUMBERLAND,MD,21502,6,1,01B,4,3,1
6005,1,ALLEGANY HIGH SCHOOL,900 SETON DRIVE,CUMBERLAND,MD,21502,6,1,01B,4,3,1
6006,1,BOWLING GREEN VOLUNTEER FIRE DEPARTMENT,12420 MCMULLEN HWY SW,CUMBERLAND,MD,21502,6,1,01B,4,3,1
7001,1,CRESAPTOWN ELEMENTARY SCHOOL,"13202 SIXTH AVENUE, SW",CRESAPTOWN,MD,21502,6,1,01B,4,3,1
7002,1,BEL AIR ELEMENTARY SCHOOL,"14401 BARTON BLVD., SW",CUMBERLAND,MD,21502,6,1,01A,4,3,1
8000,1,WESTERNPORT ELEM. SCHOOL,172 CHURCH STREET,WESTERNPORT,MD,21562,6,1,01A,4,3,1
9000,1,BARTON COUNCIL CHAMBER,"19018 LEGISLATIVE ROAD, SW",BARTON,MD,21521,6,1,01A,4,3,1
1001,2,LINTHICUM ES,101 SCHOOL LANE,LINTHICUM,MD,21090,3,32,32,5,5,1
1002,2,LINDALE MS,415 ANDOVER ROAD,LINTHICUM,MD,21090,3,32,32,5,5,1
1003,2,NORTH COUNTY HS,10 1ST AVENUE EAST,GLEN BURNIE,MD,21061,3,32,32,5,5,1
1004,2,BROOKLYN PARK MS,200 HAMMONDS LANE,BALTIMORE,MD,21225,3,12,12B,5,5,1
1005,2,HEBRON-HARMAN ES,7660 RIDGE CHAPEL ROAD,HANOVER,MD,21076,3,32,32,5,5,1
1006,2,CHESAPEAKE SCIENCE POINT CS,7321 PARKWAY DRIVE SOUTH,HANOVER,MD,21076,3,32,32,5,5,1
1007,2,OVERLOOK ES,401 HAMPTON ROAD,LINTHICUM,MD,21090,3,12,12B,5,5,1
1008,2,NORTH COUNTY HS,10 1ST AVENUE EAST,GLEN BURNIE,MD,21061,3,32,32,5,5,1
1009,2,HILLTOP ES,415 MELROSE AVENUE,GLEN BURNIE,MD,21061,3,32,32,5,5,1
1010,2,ST. JOHN LUTHERAN CHURCH,300 MAPLE ROAD WEST,LINTHICUM,MD,21090,3,32,32,5,5,1
1011,2,LINTHICUM LIBRARY,400 SHIPLEY ROAD,LINTHICUM,MD,21090,3,32,32,5,5,1
1012,2,NORTH GLEN ES,615 FURNACE BRANCH ROAD WEST,GLEN BURNIE,MD,21061,3,12,12B,5,5,1
1013,2,BELLE GROVE ES,4502 BELLE GROVE ROAD,BALTIMORE,MD,21225,3,12,12B,5,5,1
1014,2,GEORGE CROMWELL ES,221 OLEN DRIVE,GLEN BURNIE,MD,21061,3,32,32,5,5,1
1015,2,BROOKLYN PARK ES,200 14TH AVENUE,BALTIMORE,MD,21225,3,12,12B,5,5,1
1016,2,BROOKLYN PARK LIBRARY,1 11TH AVENUE EAST,BALTIMORE,MD,21225,3,12,12B,5,5,1
1017,2,PARK ES,201 11TH AVENUE EAST,BALTIMORE,MD,21225,3,12,12B,5,5,1
1018,2,BROOKLYN PARK MS,200 HAMMONDS LANE,BALTIMORE,MD,21225,3,12,12B,5,5,1
1019,2,VAN BOKKELEN ES,1140 REECE ROAD,SEVERN,MD,21144,3,32,32,5,5,1
1020,2,VAN BOKKELEN ES,1140 REECE ROAD,SEVERN,MD,21144,3,32,32,5,5,1
1021,2,CHESAPEAKE SCIENCE POINT CS,7321 PARKWAY DRIVE SOUTH,HANOVER,MD,21076,3,32,32,5,5,1
1022,2,JESSUP ES,2798 CHAMPION FOREST AVENUE,JESSUP,MD,20794,3,32,32,5,5,1
1023,2,JESSUP ES,2798 CHAMPION FOREST AVENUE,JESSUP,MD,20794,5,32,32,5,5,1
1024,2,SEVERN ES,838 REECE ROAD,SEVERN,MD,21144,3,32,32,5,5,1
1025,2,JESSUP ES,2798 CHAMPION FOREST AVENUE,JESSUP,MD,20794,3,32,32,5,5,1
2001,2,SEVERN ES,838 REECE ROAD,SEVERN,MD,21144,3,31,31,5,5,1
2002,2,SOUTHGATE ES,290 SHETLANDS LANE,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2003,2,GLEN BURNIE PARK ES,500 MARLBORO ROAD,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2004,2,QUARTERFIELD ES,7967 QUARTERFIELD ROAD,SEVERN,MD,21144,3,32,32,5,5,1
2005,2,OAKWOOD ES,330 OAK MANOR DRIVE,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2006,2,CORKRAN MS,7600 QUARTERFIELD ROAD,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2007,2,RICHARD HENRY LEE ES,400 A STREET SW,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2008,2,GLENDALE ES,105 CARROLL ROAD,GLEN BURNIE,MD,21060,3,12,12B,5,5,1
2009,2,QUARTERFIELD ES,7967 QUARTERFIELD ROAD,SEVERN,MD,21144,3,32,32,5,5,1
2010,2,POINT PLEASANT ANNEX,1450 FURNACE AVENUE,GLEN BURNIE,MD,21060,3,31,31,5,5,1
2011,2,WOODSIDE ES,160 FUNKE ROAD,GLEN BURNIE,MD,21061,3,31,31,5,5,1
2012,2,GLEN BURNIE HS,7550 BALTIMORE ANNAPOLIS BLVD,GLEN BURNIE,MD,21060,3,12,12B,5,5,1
2013,2,OLD MILL HS,600 PATRIOT LANE,MILLERSVILLE,MD,21108,3,31,31,5,5,1
2014,2,RIPPLING WOODS ES,530 NOLFIELD DRIVE,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2015,2,OLD MILL MS SOUTH,620 PATRIOT LANE,MILLERSVILLE,MD,21108,3,32,32,5,5,1
2016,2,CORKRAN MS,7600 QUARTERFIELD ROAD,GLEN BURNIE,MD,21061,3,32,32,5,5,1
2017,2,OLD MILL MS SOUTH,620 PATRIOT LANE,MILLERSVILLE,MD,21108,3,32,32,5,5,1
2018,2,RUTH PARKER EASON SCHOOL,648 OLD MILL ROAD,MILLERSVILLE,MD,21108,3,32,32,5,5,1
