PRECINCT_CODE,COUNTY_CODE,LOCATION_NAME,RA_ADDRESS1,RA_CITY,RA_STATE,RA_ZIP,CONGRESSIONAL_DISTRICT_CODE,SENATORIAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,JUDICIAL_DISTRICT_CODE,APPELLATE_DISTRICT_CODE,IS_POLLING_PLACE
2019,2,MARLEY ES,715 COOPER ROAD,GLEN BURNIE,MD,21060,3,12,12B,5,5,1
2020,2,GRACE OF GOD FELLOWSHIP,8302 ELVATON ROAD,MILLERSVILLE,MD,21108,3,31,31,5,5,1
2021,2,HERITAGE COMMUNITY CHURCH,8146 QUARTERFIELD ROAD,SEVERN,MD,21144,3,31,31,5,5,1
2022,2,POINT PLEASANT ES,1035 DUMBARTON ROAD,GLEN BURNIE,MD,21060,3,31,31,5,5,1
2023,2,RIDGEWAY ES,1440 EVERGREEN ROAD,SEVERN,MD,21144,3,31,31,5,5,1
2024,2,RIDGEWAY ES,1440 EVERGREEN ROAD,SEVERN,MD,21144,3,31,31,5,5,1
3001,2,NORTHEAST HS,1121 DUVALL HIGHWAY,PASADENA,MD,21122,3,31,31,5,5,1
3002,2,RIVIERA BEACH ES,8515 JENKINS ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3003,2,HIGH POINT ES,7789 EDGEWOOD AVENUE,PASADENA,MD,21122,3,31,31,5,5,1
3004,2,NORTHEAST MS,7922 OUTING AVENUE,PASADENA,MD,21122,3,31,31,5,5,1
3005,2,NORTHEAST MS,7922 OUTING AVENUE,PASADENA,MD,21122,3,31,31,5,5,1
3006,2,MARLEY ES,715 COOPER ROAD,GLEN BURNIE,MD,21060,3,31,31,5,5,1
3007,2,SUNSET ES,8572 FORT SMALLWOOD ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3008,2,MARLEY MS,10 DAVIS COURT,GLEN BURNIE,MD,21060,3,12,12B,5,5,1
3009,2,PASADENA ES,401 PASADENA ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3010,2,CHESAPEAKE BAY MS - B SIDE,4804 MOUNTAIN ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3011,2,BODKIN ES,8320 VENTNOR ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3012,2,FORT SMALLWOOD ES,1720 POPLAR RIDGE ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3013,2,LAKE SHORE ES,4531 MOUNTAIN ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3014,2,MARLEY MS,10 DAVIS COURT,GLEN BURNIE,MD,21060,3,31,31,5,5,1
3015,2,CHESAPEAKE HS,4798 MOUNTAIN ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3016,2,NORTHEAST HS,1121 DUVALL HIGHWAY,PASADENA,MD,21122,3,31,31,5,5,1
3017,2,JACOBSVILLE ES,3801 MOUNTAIN ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3018,2,LAKE SHORE ES,4531 MOUNTAIN ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3019,2,FORT SMALLWOOD ES,1720 POPLAR RIDGE ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3020,2,EMMANUEL LUTHERAN CHURCH,8615 FORT SMALLWOOD ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3021,2,SUNSET ES,8572 FORT SMALLWOOD ROAD,PASADENA,MD,21122,3,31,31,5,5,1
3022,2,MT. ZION UMC,8178 ARTIC DRIVE,PASADENA,MD,21122,3,31,31,5,5,1
3023,2,EARLEIGH HEIGHTS VFD,161 RITCHIE HIGHWAY,SEVERNA PARK,MD,21146,3,31,31,5,5,1
3024,2,ORCHARD BEACH VFD,7549 SOLLEY ROAD,GLEN BURNIE,MD,21060,3,31,31,5,5,1
3025,2,FREETOWN ES,7904 FREETOWN ROAD,GLEN BURNIE,MD,21060,3,12,12B,5,5,1
4001,2,MARYLAND CITY ES,3359 CRUMPTON SOUTH,LAUREL,MD,20724,5,32,32,5,5,1
4002,2,ODENTON ES,1290 ODENTON ROAD,ODENTON,MD,21113,5,33,33A,5,5,1
4003,2,ARUNDEL HS,1001 ANNAPOLIS ROAD,GAMBRILLS,MD,21054,5,33,33A,5,5,1
4004,2,MEADE HEIGHTS ES,1925 REECE ROAD,FORT MEADE,MD,20755,3,32,32,5,5,1
4005,2,PINEY ORCHARD ES,2641 STRAWBERRY LAKE WAY,ODENTON,MD,21113,5,33,33A,5,5,1
4006,2,COMMUNITY UMC,300 BROCK BRIDGE ROAD,LAUREL,MD,20724,5,32,32,5,5,1
4007,2,MEADE MS,1103  26TH STREET,FORT MEADE,MD,20755,5,32,32,5,5,1
4008,2,FOUR SEASONS ES,979 WAUGH CHAPEL ROAD,GAMBRILLS,MD,21054,5,33,33A,5,5,1
4009,2,MARYLAND CITY AT RUSSETT LIBRARY,3501 RUSSETT COMMON,LAUREL,MD,20724,5,32,32,5,5,1
4010,2,TWO RIVERS CLUBHOUSE,1425 TWO RIVERS BOULEVARD,ODENTON,MD,21113,5,21,21,5,5,1
4011,2,O'MALLEY SENIOR CENTER,1275 ODENTON ROAD,ODENTON,MD,21113,5,33,33A,5,5,1
4012,2,ODENTON BAPTIST CHURCH,8410 PINEY ORCHARD PARKWAY,ODENTON,MD,21113,5,33,33A,5,5,1
4013,2,BROCK BRIDGE ES,405 BROCK BRIDGE ROAD,LAUREL,MD,20724,5,21,21,5,5,1
4014,2,NANTUCKET ES,2350 NANTUCKET DRIVE,CROFTON,MD,21114,5,21,21,5,5,1
4015,2,NANTUCKET ES,2350 NANTUCKET DRIVE,CROFTON,MD,21114,5,33,33A,5,5,1
4016,2,PINEY ORCHARD ES,2641 STRAWBERRY LAKE WAY,ODENTON,MD,21113,5,33,33A,5,5,1
4017,2,BROCK BRIDGE ES,405 BROCK BRIDGE ROAD,LAUREL,MD,20724,5,32,32,5,5,1
4018,2,FOUR SEASONS ES,979 WAUGH CHAPEL ROAD,GAMBRILLS,MD,21054,5,21,21,5,5,1
4019,2,SEVEN OAKS ES,1905 TOWN CENTER BOULEVARD,ODENTON,MD,21113,5,33,33A,5,5,1
4020,2,PINEY ORCHARD COMMUNITY CENTER,2400 STREAM VALLEY DRIVE,ODENTON,MD,21113,5,21,21,5,5,1
4021,2,NANTUCKET ES,2350 NANTUCKET DRIVE,CROFTON,MD,21114,5,33,33B,5,5,1
4022,2,CROFTON LIBRARY,1681 RIEDEL ROAD,CROFTON,MD,21114,5,33,33A,5,5,1
4023,2,ARUNDEL HS,1001 ANNAPOLIS ROAD,GAMBRILLS,MD,21054,5,33,33A,5,5,1
4024,2,SEVEN OAKS ES,1905 TOWN CENTER BOULEVARD,ODENTON,MD,21113,5,33,33A,5,5,1
5001,2,WINDSOR FARM ES,591 BROADNECK ROAD,ANNAPOLIS,MD,21409,3,33,33C,5,5,1
5002,2,CAPE ST. CLAIRE ES,931 BLUE RIDGE DRIVE,ANNAPOLIS,MD,21409,3,33,33C,5,5,1
5003,2,ARNOLD SENIOR CENTER,44 CHURCH ROAD,ARNOLD,MD,21012,3,33,33C,5,5,1
5004,2,BELVEDERE ES,360 BROADWATER ROAD,ARNOLD,MD,21012,3,33,33C,5,5,1
5005,2,JONES ES,122 HOYLE LANE,SEVERNA PARK,MD,21146,3,33,33C,5,5,1
5006,2,SEVERNA PARK ES,6 RIGGS AVENUE,SEVERNA PARK,MD,21146,3,33,33C,5,5,1
5007,2,BENFIELD ES,365 LYNWOOD DRIVE,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5008,2,OAK HILL ES,34 TRUCK HOUSE ROAD,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5009,2,FOLGER MCKINSEY ES,175 ARUNDEL BEACH ROAD,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5010,2,FOLGER MCKINSEY ES,175 ARUNDEL BEACH ROAD,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5011,2,MAGOTHY RIVER MS,241 PENINSULA FARM ROAD,ARNOLD,MD,21012,3,33,33C,5,5,1
5012,2,SEVERNA PARK HS,60 ROBINSON ROAD,SEVERNA PARK,MD,21146,3,33,33C,5,5,1
5013,2,BROADNECK ES,470 SHORE ACRES ROAD,ARNOLD,MD,21012,3,33,33C,5,5,1
5014,2,SEVERNA PARK LIBRARY,45 W MCKINSEY ROAD,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5015,2,SHIPLEY'S CHOICE ES,310 GOVERNOR WILLIAM STONE PARKWAY,MILLERSVILLE,MD,21108,3,31,31,5,5,1
5016,2,SEVERN RIVER MS,241 PENINSULA FARM ROAD,ARNOLD,MD,21012,3,33,33C,5,5,1
5017,2,CAPE ST. CLAIRE IMPROVEMENT ASSOC.,1223 RIVER BAY ROAD,ANNAPOLIS,MD,21409,3,33,33C,5,5,1
5018,2,BROADNECK HS,1265 GREEN HOLLY DRIVE,ANNAPOLIS,MD,21409,3,33,33C,5,5,1
5019,2,SEVERNA PARK MS,450 JUMPERS HOLE ROAD,SEVERNA PARK,MD,21146,3,33,33B,5,5,1
5020,2,GLORIA DEI LUTHERAN CHURCH,461 COLLEGE PARKWAY,ARNOLD,MD,21012,3,30,30A,5,5,1
5021,2,CROSSPOINTE CHURCH,365 JONES STATION ROAD,ARNOLD,MD,21012,3,33,33C,5,5,1
5022,2,ARUNDEL MS,1179 HAMMOND LANE,ODENTON,MD,21113,3,31,31,5,5,1
5023,2,ARNOLD ES,95 JOYCE LANE EAST,ARNOLD,MD,21012,3,30,30A,5,5,1
5024,2,SEVERNA PARK MS,450 JUMPERS HOLE ROAD,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5025,2,ODENTON LIBRARY,1325 ANNAPOLIS ROAD,ODENTON,MD,21113,5,33,33A,5,5,1
5026,2,ARNOLD ES,95 JOYCE LANE EAST,ARNOLD,MD,21012,3,30,30A,5,5,1
5027,2,BROADNECK LIBRARY,1275 GREEN HOLLY DRIVE,ANNAPOLIS,MD,21409,3,33,33C,5,5,1
5028,2,WINDSOR FARM ES,591 BROADNECK ROAD,ANNAPOLIS,MD,21409,3,33,33C,5,5,1
5029,2,PASADENA UMC,61 RITCHIE HIGHWAY,PASADENA,MD,21122,3,31,31,5,5,1
5030,2,ARUNDEL MS,1179 HAMMOND LANE,ODENTON,MD,21113,5,31,31,5,5,1
5031,2,SEVERNA PARK HS,60 ROBINSON ROAD,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5032,2,ODENTON LIBRARY,1325 ANNAPOLIS ROAD,ODENTON,MD,21113,3,33,33A,5,5,1
5033,2,SHIPLEY'S CHOICE ES,310 GOVERNOR WILLIAM STONE PARKWAY,MILLERSVILLE,MD,21108,3,31,31,5,5,1
5034,2,ASBURY TOWN-NECK UMC,429 ASBURY DRIVE,SEVERNA PARK,MD,21146,3,31,31,5,5,1
5035,2,GLORIA DEI LUTHERAN CHURCH,461 COLLEGE PARKWAY,ARNOLD,MD,21012,3,33,33C,5,5,1
5036,2,ARUNDEL HS,1001 ANNAPOLIS ROAD,GAMBRILLS,MD,21054,5,33,33A,5,5,1
5037,2,ARUNDEL MS,1179 HAMMOND LANE,ODENTON,MD,21113,3,33,33A,5,5,1
6001,2,BATES MS,701 CHASE STREET,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6002,2,GERMANTOWN ES,200 WINDELL AVENUE,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6003,2,PHOENIX ACADEMY,1411 CEDAR PARK ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6004,2,AMERICAN LEGION POST #141,1707 FOREST DRIVE,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6005,2,ANNAPOLIS MS,1399 FOREST DRIVE,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6006,2,TYLER HEIGHTS ES,200 JANWALL STREET,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6007,2,GEORGETOWN EAST ES,111 DOGWOOD ROAD,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6008,2,EASTPORT VFD,914 BAY RIDGE AVENUE,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6009,2,ANNAPOLIS MS,1399 FOREST DRIVE,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6010,2,ANNAPOLIS HS,2700 RIVA ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6011,2,HERALD HARBOR COMMUNITY CENTER,390 HALL ROAD,CROWNSVILLE,MD,21032,3,33,33B,5,5,1
6012,2,WEST ANNAPOLIS ES,505 MELVIN AVENUE,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6013,2,MILLS-PAROLE ES,1 GEORGE AND MARION PHELPS LANE,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6014,2,AMERICAN LEGION POST #141,1707 FOREST DRIVE,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6015,2,ANNAPOLIS MS,1399 FOREST DRIVE,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6016,2,EASTPORT COMMUNITY CENTER,1014 PRESIDENT STREET,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6017,2,SOUTH SHORE ES,1376 FAIRFIELD LOOP ROAD,CROWNSVILLE,MD,21032,3,33,33B,5,5,1
6018,2,EASTPORT ES,420 FIFTH STREET,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6019,2,ANNAPOLIS HS,2700 RIVA ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6020,2,AMERICAN LEGION POST #7,1905 CROWNSVILLE ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6021,2,ROLLING KNOLLS ES,1985 VALLEY ROAD,ANNAPOLIS,MD,21401,3,33,33B,5,5,1
6022,2,ROLLING KNOLLS ES,1985 VALLEY ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6023,2,EASTPORT-ANNAPOLIS NECK LIBRARY,269 HILLSMERE DRIVE,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6024,2,HILLSMERE ES,3052 ARUNDEL ON THE BAY ROAD,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6025,2,BAY RIDGE CIVIC ASSOCIATION,80 E LAKE DRIVE,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6026,2,MILLERSVILLE ES,1601 MILLERSVILLE ROAD,MILLERSVILLE,MD,21108,3,33,33B,5,5,1
6027,2,SOUTH SHORE ES,1376 FAIRFIELD LOOP ROAD,CROWNSVILLE,MD,21032,3,33,33B,5,5,1
6028,2,AMERICAN LEGION POST #7,1905 CROWNSVILLE ROAD,ANNAPOLIS,MD,21401,3,33,33B,5,5,1
6029,2,WEEMS CREEK BAPTIST CHURCH,600 N BESTGATE ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6030,2,BAY RIDGE CHRISTIAN CHURCH,1071 BAY RIDGE ROAD,ANNAPOLIS,MD,21403,3,30,30A,5,5,1
6031,2,ST. PHILIPS EPISCOPAL CHURCH,730 BESTGATE ROAD,ANNAPOLIS,MD,21401,3,33,33B,5,5,1
6032,2,ROLLING KNOLLS ES,1985 VALLEY ROAD,ANNAPOLIS,MD,21401,3,30,30A,5,5,1
6033,2,MILLERSVILLE ES,1601 MILLERSVILLE ROAD,MILLERSVILLE,MD,21108,3,33,33A,5,5,1
6034,2,MILLERSVILLE ES,1601 MILLERSVILLE ROAD,MILLERSVILLE,MD,21108,3,31,31,5,5,1
6035,2,MILLERSVILLE ES,1601 MILLERSVILLE ROAD,MILLERSVILLE,MD,21108,5,33,33B,5,5,1
7001,2,TRACEY'S ES,20 DEALE ROAD,TRACYS LANDING,MD,20779,5,30,30B,5,5,1
7002,2,DEALE ES,759 MASONS BEACH ROAD,DEALE,MD,20751,5,30,30B,5,5,1
7003,2,SHADY SIDE ES,4859 ATWELL ROAD,SHADY SIDE,MD,20764,5,30,30B,5,5,1
7004,2,SOUTHERN HS,4400 SOLOMONS ISLAND ROAD,HARWOOD,MD,20776,5,30,30B,5,5,1
7005,2,EDGEWATER ES,121 WASHINGTON ROAD,EDGEWATER,MD,21037,5,30,30A,5,5,1
7006,2,SOUTH RIVER HS,201 CENTRAL AVENUE EAST,EDGEWATER,MD,21037,5,30,30B,5,5,1
7007,2,DAVIDSONVILLE ES,962 CENTRAL AVENUE WEST,DAVIDSONVILLE,MD,21035,5,33,33B,5,5,1
7008,2,SOUTHERN HS,4400 SOLOMONS ISLAND ROAD,HARWOOD,MD,20776,5,30,30B,5,5,1
7009,2,SOUTHERN MS,5235 SOLOMONS ISLAND ROAD,LOTHIAN,MD,20711,5,30,30B,5,5,1
7010,2,MAYO ES,1260 MAYO RIDGE ROAD,EDGEWATER,MD,21037,5,30,30B,5,5,1
7011,2,CENTRAL MS,221 CENTRAL AVENUE EAST,EDGEWATER,MD,21037,5,30,30B,5,5,1
7012,2,RIVA VFD,3123 RIVA ROAD,RIVA,MD,21140,5,33,33B,5,5,1
7013,2,CROFTON HS,2291 DAVIDSONVILLE ROAD,GAMBRILLS,MD,21054,5,33,33B,5,5,1
7014,2,CROFTON WOODS ES,1750 URBY DRIVE,CROFTON,MD,21114,5,33,33B,5,5,1
7015,2,CROFTON ES,1405 DUKE OF KENT DR,CROFTON,MD,21114,5,33,33B,5,5,1
7016,2,CROFTON WOODS ES,1750 URBY DRIVE,CROFTON,MD,21114,5,21,21,5,5,1
