GEOID,County,Alsobrooks,Hogan,Scott
24001,Allegany,5822,19761,1915
24003,Anne Arundel,116820,147802,6397
24510,Baltimore City,133916,31778,2756
24005,Baltimore County,174099,164724,8222
24009,Calvert,14973,30044,1501
24011,Caroline,3120,10669,699
24013,Carroll,19036,63472,3010
24015,Cecil,8634,29943,2471
24017,Charles,46491,27578,1526
24019,Dorchester,4106,8610,541
24021,Frederick,51387,73592,3759
24023,Garrett,1698,10736,969
24025,Harford,38185,85174,4685
24027,Howard,81699,63994,2546
24029,Kent,3434,5725,286
24031,Montgomery,258070,136290,5099
24033,Prince George's,257868,50892,3366
24035,Queen Anne's,5800,19938,973
24037,Saint Mary's,14876,33590,2189
24039,Somerset,2317,5053,499
24041,Talbot,7378,12238,533
24043,Washington,19206,44293,3235
24045,Wicomico,13559,23861,1692
24047,Worcester,6772,19331,1091
