GEOID,County,For,Against
24001,Allegany,10195,7754
24003,Anne Arundel,93572,54243
24510,Baltimore City,90900,25690
24005,Baltimore County,127187,68348
24009,Calvert,17235,12164
24011,Caroline,5222,3636
24013,Carroll,31727,23360
24015,Cecil,15359,10449
24017,Charles,25761,14320
24019,Dorchester,5173,3504
24021,Frederick,49391,29682
24023,Garrett,4316,4854
24025,Harford,48772,32663
24027,Howard,66592,35953
24029,Kent,4002,2281
24031,Montgomery,162368,68338
24033,Prince George's,120018,47976
24035,Queen Anne's,10482,7764
24037,Saint Mary's,17356,13289
24039,Somerset,2976,2232
24041,Talbot,8429,5549
24043,Washington,23104,17117
24045,Wicomico,14122,9182
24047,Worcester,10861,7063
