zip,total
20106,100
20109,250
20111,75
20130,27.5
20137,1010
20143,75
20145,120
20146,52
20147,250
20155,634
20172,750
20175,50
20184,857
20185,29345
20186,20
20190,1135
20193,75
20194,25
20201,25
20207,1000
20227,25
20236,314.5
20406,19
20409,165
20417,90
20464,25
20475,20
20507,35
20509,25
20518,15
20580,521
20601,26617.81
20602,10456.44
20603,41199.67
20604,541
20606,16.5
20607,20866.61
20608,305.5
20609,148
20610,80.88
20613,13728.93
20614,5
20615,81.5
20616,4124.56
20617,1209.7
20618,606.5
20619,7242.92
20620,755.5
20621,29
20622,1011.5
20623,3668.56
20624,139.5
20625,1323.26
20626,602.5
20628,5149
20629,425
20630,325
20634,5724.86
20636,10881.22
20637,4259.2
20639,20916.44
20640,3346.04
20645,90
20646,17083.51
20647,10
20650,15514.9
20653,14846.55
20657,21773.5
20658,1210.68
20659,8196.36
20662,1315.18
20664,2169
20667,428.5
20670,211
20674,1663.22
20675,4320
20676,14001.13
20677,2125
20678,6720.36
20680,3675
20682,25
20684,193
20685,6451.44
20686,3420.7
20687,268
20688,16402.21
20689,762
20690,1415.24
20692,220.47
20693,910.9
20695,8587.4
20696,55
20698,92.85
20701,1345
20702,159
20703,165.24
20704,43
20705,41035.37
20706,45613.48
20707,66373.67
20708,29724.83
20709,486
20710,5424.5
20711,19099.27
20712,21893.91
20713,80
20714,7062.41
20715,52535.25
20716,35491
20717,245
20718,3987.9
20720,97557.53
20721,122700.42
20722,15413.47
20723,47158.03
20724,16990.48
20725,624
20726,178.5
20727,10
20729,15
20731,159
20732,16660.18
20733,8591.1
20734,49
20735,49239.74
20736,17574.63
20737,22759.88
20738,662.5
20740,55985.85
20741,16193.2
20742,444
20743,21754.45
20744,96990.27
20745,37537.44
20746,17308.44
20747,24257.35
20748,36519.45
20749,3599
20750,2515.76
20751,10899.08
20752,275
20753,1117
20754,7766.02
20755,2158.54
20756,25
20757,150
20758,1886.29
20759,25238.81
20760,27.5
20762,728
20763,6937.68
20764,13764.1
20765,2040
20768,642.5
20769,40900.44
20770,94850.85
20772,77618.04
20773,640.3
20774,87764.19
20775,335
20776,7794.5
20777,25644.29
20778,3251.97
20779,16548.51
20781,44207.49
20782,102910.54
20783,23054.53
20784,16966.52
20785,47805.02
20786,4.4
20787,248
20791,754.5
20792,2698.4599999999996
