GEOID,County,Cox,Moore,Lashar,Wallace,Harding,Write-ins
24001,Allegany,13047,5151,254,126,243,14
24003,Anne Arundel,70572,74981,3259,887,1200,526
24510,Baltimore City,10958,104148,1212,1155,1350,226
24005,Baltimore County,75804,116772,3615,1478,2190,601
24009,Calvert,17641,12149,465,126,229,74
24011,Caroline,6343,2551,156,44,123,15
24013,Carroll,36178,18085,1293,352,472,246
24015,Cecil,17823,8026,451,146,297,54
24017,Charles,13728,26794,329,247,356,57
24019,Dorchester,5661,3202,120,60,134,12
24021,Frederick,40178,38581,1456,468,606,252
24023,Garrett,7569,1585,171,39,115,11
24025,Harford,48118,31662,1775,527,790,232
24027,Howard,31043,69844,2155,713,652,351
24029,Kent,3389,2921,95,53,83,6
24031,Montgomery,53670,178917,2906,2070,1504,632
24033,Prince George's,16487,155637,967,1551,1847,266
24035,Queen Anne's,11889,6174,354,100,184,71
24037,Saint Mary's,19310,11205,593,236,320,69
24039,Somerset,3694,1768,60,39,68,4
24041,Talbot,7179,6788,261,65,119,38
24043,Washington,26446,14333,589,231,449,67
24045,Wicomico,13474,9479,356,151,313,36
24047,Worcester,12130,6012,221,96,133,22
