GEOID,County,Dem_Sent,Rep_Sent,Other_Sent,Total_Sent,Dem_Returned,Rep_Returned,Other_Returned,Total_Returned,Counted,Remaining
24001,Allegany,2159,1766,628,4553,1742,1395,445,3582,1447,2135
24003,Anne Arundel,40325,15145,14421,69891,25251,9087,7580,41918,0,41918
24510,Baltimore City,49363,2649,5212,57224,29790,1398,2245,33433,30257,3176
24005,Baltimore County,62592,16178,13303,92073,44514,11022,7839,63375,0,63375
24009,Calvert,5394,3082,1856,10332,3997,2142,1158,7297,2644,4653
24011,Caroline,793,593,299,1685,623,445,205,1273,0,1273
24013,Carroll,7945,5870,3082,16897,6064,4263,2036,12363,0,12363
24015,Cecil,3365,2402,1227,6994,2482,1703,793,4978,0,4978
24017,Charles,10235,2058,1923,14216,7545,1477,1191,10213,0,10213
24019,Dorchester,1562,718,272,2552,1233,582,193,2008,0,2008
24021,Frederick,17618,6387,5258,29263,11298,3943,2788,18029,3776,14253
24023,Garrett,791,955,192,1938,662,748,141,1551,0,1551
24025,Harford,11402,6775,4038,22215,8755,5060,2771,16586,0,16586
24027,Howard,26355,5973,7654,39982,19293,4162,4966,28421,11045,17376
24029,Kent,1303,479,273,2055,1058,360,177,1595,0,1595
24031,Montgomery,104498,13888,23651,142037,51842,6447,9551,67840,27064,40776
24033,Prince George's,69578,3889,8333,81800,45412,2321,4159,51892,18533,33359
24035,Queen Anne's,2196,1461,734,4391,1772,1085,515,3372,0,3372
24037,Saint Mary's,4476,2694,1541,8711,3405,1911,977,6293,2000,4293
24039,Somerset,689,432,185,1306,561,331,126,1018,0,1018
24041,Talbot,2580,1265,865,4710,2083,950,612,3645,1199,2446
24043,Washington,5908,3612,2144,11664,4706,2772,1472,8950,4000,4950
24045,Wicomico,3973,2004,1065,7042,3110,1536,715,5361,0,5361
24047,Worcester,2832,1881,945,5658,2245,1413,668,4326,0,4326
