GEOID,County,Harris,Trump,Oliver,Stein,Kennedy
24001,Allegany,7296,20295,115,107,309
24003,Anne Arundel,145562,117781,1848,2035,2937
24510,Baltimore City,141719,21671,667,2312,1446
24005,Baltimore County,204027,134213,1870,3369,3333
24009,Calvert,19093,26725,243,190,473
24011,Caroline,4026,10320,70,85,170
24013,Carroll,27241,56274,721,501,1005
24015,Cecil,11541,29372,222,213,420
24017,Charles,50680,23166,276,699,751
24019,Dorchester,4822,8234,44,118,150
24021,Frederick,64035,62076,811,1081,1271
24023,Garrett,2469,10948,66,44,190
24025,Harford,49603,75708,855,791,1371
24027,Howard,98468,43740,1013,2699,1449
24029,Kent,4145,5095,52,72,100
24031,Montgomery,292871,93448,1874,6043,3474
24033,Prince George's,267903,36175,791,4164,2756
24035,Queen Anne's,8043,18146,152,131,297
24037,Saint Mary's,18928,30683,352,294,589
24039,Somerset,2733,5121,27,71,96
24041,Talbot,9364,10356,94,105,173
24043,Washington,24371,41884,331,450,753
24045,Wicomico,16884,21556,163,300,473
24047,Worcester,9429,17406,120,154,288
