GEOID,County,Peroutka,Brown,Write-ins
24001,Allegany,13227,5326,9
24003,Anne Arundel,76083,73175,291
24510,Baltimore City,12914,105271,236
24005,Baltimore County,84282,115404,347
24009,Calvert,18122,12040,23
24011,Caroline,6571,2562,6
24013,Carroll,38913,17126,87
24015,Cecil,18516,7909,26
24017,Charles,13869,27205,35
24019,Dorchester,5885,3210,8
24021,Frederick,41863,38320,87
24023,Garrett,7671,1661,5
24025,Harford,51705,30383,121
24027,Howard,34821,68285,176
24029,Kent,3565,2853,5
24031,Montgomery,56756,178480,367
24033,Prince George's,16721,157317,220
24035,Queen Anne's,12701,5762,19
24037,Saint Mary's,19844,11402,28
24039,Somerset,3740,1850,4
24041,Talbot,7810,6431,15
24043,Washington,26964,14392,30
24045,Wicomico,14159,9660,18
24047,Worcester,12655,5904,14
