city,count,sum
Aberdeen,141,3849.66
Aberdeen Proving Ground,3,75
Abingdon,237,5007
Accident,6,300
Accokeek,26,552
Adamstown,18,523
Adelphi,11,274
Allen,10,610
Annapolis,2536,108677.8
Aquasco,2,75
Arbutus,9,85
Arnold,238,11758.87
Ashton,17,335
Avenue,14,470
Baldwin,133,4676
baltimore,3,30
Baltimore,2319,79376.52
BALTIMORE,6,105
Barnesville,1,29
Barstow,7,134
Barton,1,25
Beallsville,4,185
Bel Air,1014,26438.4
Bel Alton,9,135
Belcamp,34,1101
Beltsville,313,3703.34
Benedict,4,310
Benson,1,25
Berlin,189,6330.5
Berwyn Heights,6,135
Bethesda,727,139757.2
Betterton,3,72
Big Pool,3,201
Bishopville,50,2030
Bladensburg,3,75
Boonsboro,156,7778.94
Bowie,670,20129.18
Boyds,72,3297
Bozman,2,135
Brandywine,39,462
Brentwood,8,115
Brinklow,5,180
Brookeville,101,2603.22
Brooklandville,2,700
Brooklyn,68,1795
Brooklyn Park,4,100
Brunswick,32,816.24
Bryans Road,60,331.49
Bryantown,12,367
Buckeystown,44,214
Burtonsville,48,1296
Bushwood,18,1133
Cabin John,33,1798
California,434,8360.35
Callaway,4,90
Cambridge,94,2683.99
Camp Springs,2,30
Capitol Heights,57,1561
Cascade,1,20.22
Catonsville,1292,27265.99
Cecilton,3,75
Centreville,79,3551
Charlestown,1,1
Charlotte Hall,18,540
Chase,1,50
Cheltenham,1,25
Chesapeake Beach,59,1714.76
Chesapeake City,41,1370
Chester,88,4262.76
Chestertown,174,2835.45
Chestnut Hill Cove,4,165
Cheverly,47,2274
Chevy chase,1,25
Chevy Chase,332,133225.1
Chewsville,2,10
Childs,5,115
Church Creek,3,3
Church Hill,15,265
Churchton,146,1357
Churchville,50,1247
Clarksburg,398,8334.56
Clarksville,71,8870.12
Clear Spring,31,870.66
Clements,2,10
Clinton,74,1033
Cobb Island,5,120
Cockeysville,118,16313
Colesville,5,115
College Park,441,3378.6
Colora,9,175.22
Coltons Point,3,538
Columbia,582,13306.19
Conowingo,13,211
Cooksville,2,90
Cordova,17,310
Cresaptown,1,50
Crisfield,63,4404
Crofton,313,11181
Crownsville,188,9243
Crumpton,1,1
Cumberland,289,12370.22
Curtis Bay,8,128
Damascus,113,4041
Dameron,16,725
Darlington,35,928.46
Darnestown,112,3265.6
Davidsonville,82,11915.28
Dayton,1,75
Deale,25,14400
Delmar,26,503
Denton,49,857.5
Derwood,152,7397.84
Dickerson,2,150
