date,amount
2024-01-01,1654897.23
2024-01-02,1737582.25
2024-01-03,1983732.96
2024-01-04,2217386
2024-01-05,3218174.28
2024-01-06,3234882.07
2024-01-07,2194801.43
2024-01-08,2700089.92
2024-01-09,2893421.47
2024-01-10,2743930.8
2024-01-11,2592170.83
2024-01-12,2604360.44
2024-01-13,2081479.3
2024-01-14,2152301.17
2024-01-15,2641527.64
2024-01-16,3963131.54
2024-01-17,3281094.2
2024-01-18,3158578.02
2024-01-19,3006944.73
2024-01-20,2516759.68
2024-01-21,2475493.54
2024-01-22,3421985.33
2024-01-23,3280225.51
2024-01-24,3733375.44
2024-01-25,3721286.62
2024-01-26,3472013.6
2024-01-27,2611258.64
2024-01-28,2518608.43
2024-01-29,3747042.3
2024-01-30,4475972.85
2024-01-31,6724887.92
2024-02-01,3382976.3
2024-02-02,2784927.29
2024-02-03,2509210.16
2024-02-04,2738934.78
2024-02-05,3607924.65
2024-02-06,3734113.43
2024-02-07,4287755.07
2024-02-08,3340958.2
2024-02-09,3451460.71
2024-02-10,3185576.56
2024-02-11,2854980.9
2024-02-12,3429565.94
2024-02-13,3856133.23
2024-02-14,3982997.5
2024-02-15,3727848.73
2024-02-16,3114729.49
2024-02-17,2523166.15
2024-02-18,2319058.68
2024-02-19,2899522.04
2024-02-20,3843523.37
2024-02-21,3890872.54
2024-02-22,3928935.98
2024-02-23,3653681.3
2024-02-24,2867117.16
2024-02-25,3098637.26
2024-02-26,3957159.71
2024-02-27,4789705.27
2024-02-28,5357253.38
2024-02-29,8279287.88
2024-03-01,3633663.09
2024-03-02,3033693.7
2024-03-03,3055848.96
2024-03-04,4753336.22
2024-03-05,5220926.77
2024-03-06,6283572.1
2024-03-07,7462090.48
2024-03-08,10513381.8
2024-03-09,4337727.3
2024-03-10,3182475.01
2024-03-11,4316454.28
2024-03-12,4174829.03
2024-03-13,5229347.84
2024-03-14,4383695.6
2024-03-15,4302020.09
2024-03-16,3132132.37
2024-03-17,2980551.76
2024-03-18,5018939.9
2024-03-19,4933327.61
2024-03-20,5360913.62
2024-03-21,5352850.26
2024-03-22,4432717.33
2024-03-23,3214576.14
2024-03-24,3333487.72
2024-03-25,4434842.33
2024-03-26,5442652.75
2024-03-27,5516986.35
2024-03-28,7604413.64
2024-03-29,7419703.74
2024-03-30,6705030.9
2024-03-31,8607608.2
2024-04-01,3505337.64
2024-04-02,3406085.81
2024-04-03,3693805.98
2024-04-04,3760405.3
2024-04-05,3522128.37
2024-04-06,3451306.79
2024-04-07,2701184.62
2024-04-08,3397196.15
2024-04-09,3871736.69
2024-04-10,3656260.48
2024-04-11,3591670.74
2024-04-12,3207553.67
2024-04-13,2743155.64
2024-04-14,2685844.82
2024-04-15,3494916.37
2024-04-16,3830122.25
2024-04-17,3668458.31
2024-04-18,3580918.6
2024-04-19,3244074.81
2024-04-20,2856202.81
2024-04-21,3048737.24
2024-04-22,3901012.91
2024-04-23,3612643.85
2024-04-24,3467574.7
2024-04-25,3574006.99
2024-04-26,3678065.77
2024-04-27,2903462.78
2024-04-28,3367481.59
2024-04-29,4747048.13
2024-04-30,7400198.17
2024-05-01,3952397.67
2024-05-02,3465270.89
2024-05-03,3075308.21
2024-05-04,2717148.28
2024-05-05,2671132.39
2024-05-06,4244422.44
2024-05-07,4008045.98
2024-05-08,3837209.92
2024-05-09,3756848.57
2024-05-10,3563902
2024-05-11,2404728.91
2024-05-12,2398196.42
2024-05-13,3912949.05
2024-05-14,4440074.81
2024-05-15,5593922.31
2024-05-16,4023037.31
2024-05-17,3909373.03
2024-05-18,3075231.34
2024-05-19,3110023.87
2024-05-20,4093450.03
2024-05-21,4689606.78
2024-05-22,4375030.36
2024-05-23,4137096.53
2024-05-24,3735677.32
2024-05-25,3070540.52
2024-05-26,2766900.5
2024-05-27,3142374.58
2024-05-28,4729195.53
2024-05-29,6044330.6
2024-05-30,10167145.56
2024-05-31,14729636.48
2024-06-01,6185570.14
2024-06-02,4661069.07
2024-06-03,5761765.62
2024-06-04,5356990.03
2024-06-05,5611890.09
2024-06-06,7087400.01
2024-06-07,5093765.28
2024-06-08,4609831.46
2024-06-09,4146793.69
2024-06-10,4899610.17
2024-06-11,5168892.59
2024-06-12,5173915.84
2024-06-13,5299630.19
2024-06-14,4952066.21
2024-06-15,4155853.33
2024-06-16,3756524.71
2024-06-17,5384062.22
2024-06-18,5549651.13
2024-06-19,5503740.24
2024-06-20,5737111.02
2024-06-21,7433240.57
2024-06-22,5479316.89
2024-06-23,5755149.94
2024-06-24,7426297.12
2024-06-25,7106783.34
2024-06-26,7710733.99
2024-06-27,19706227.19
2024-06-28,18083567.94
2024-06-29,11512720.87
2024-06-30,16893764.06
