FIPS,County,DEM_2024,REP_2024,NLM_2024,LIB_2024,GRN_2024,UNAF_2024,OTH_2024,TOTAL_2024,DEM_2022,REP_2022,GRN_2022,LIB_2022,WCP_2022,UNAF_2022,OTH_2022,TOTAL_2022
24001,Allegany,10849,23052,62,272,54,8862,507,43658,11868,22908,78,230,73,8453,389,43999
24003,Anne Arundel,173216,129562,678,2538,455,105506,3782,415737,175138,130762,650,2300,427,98350,3041,410668
24510,Baltimore City,299106,29102,622,1263,701,63933,5084,399811,303826,28218,903,1073,646,56663,3971,395300
24005,Baltimore County,308041,139338,835,2710,675,119734,7042,578375,311586,138270,903,2529,685,108672,5999,568644
24009,Calvert,23522,28461,94,460,67,16572,644,69820,24005,28073,94,415,70,15489,556,68702
24011,Caroline,5994,10891,40,129,25,4927,227,22233,6287,10617,34,110,39,4537,164,21788
24013,Carroll,33301,64209,136,845,132,30503,1199,130325,33890,64368,192,802,101,28865,1051,129269
24015,Cecil,19053,35255,127,485,72,17316,818,73126,20849,32227,112,452,104,16672,685,71101
24017,Charles,75729,23318,155,454,103,25042,1099,125900,74881,23460,131,428,142,22176,862,122080
24019,Dorchester,9574,9482,33,112,15,4334,250,23800,9655,9016,22,110,34,3824,189,22850
24021,Frederick,78789,68925,266,1270,224,54268,1503,205245,77282,68809,332,1168,176,49092,1087,197946
24023,Garrett,3475,13859,22,111,20,3061,186,20734,3739,13711,25,105,20,2841,158,20599
24025,Harford,64575,81530,277,1295,158,45260,2053,195148,65717,80695,248,1196,200,41705,1647,191408
24027,Howard,123368,48580,344,976,244,63155,2205,238872,122194,49372,357,903,130,57367,2030,232353
24029,Kent,5721,5393,20,73,16,2817,128,14168,5868,5254,20,68,22,2594,111,13937
24031,Montgomery,406004,98743,992,2486,783,173554,6179,688741,413365,98170,1128,2266,445,160577,5580,681531
24033,Prince George's,456887,39974,956,1645,612,100970,11697,612741,464963,37836,783,1332,593,86155,10872,602534
24035,Queen Anne's,11246,20442,52,238,40,8965,332,41315,11202,19746,47,224,34,8082,299,39634
24037,Saint Mary's,24788,32618,95,513,64,18129,747,76954,25640,32009,111,478,87,17028,660,76013
24039,Somerset,5365,6256,18,76,16,2558,154,14443,5613,6024,23,62,15,2303,113,14153
24041,Talbot,10562,11652,37,175,24,6022,243,28715,10865,11760,41,141,20,5682,227,28736
24043,Washington,30648,44628,135,661,128,24107,1011,101318,31626,44282,169,631,126,22325,876,100035
24045,Wicomico,25950,24234,115,389,63,15090,812,66653,26948,24081,107,354,109,13629,677,65905
24047,Worcester,13654,19819,55,247,41,9242,513,43571,13954,19237,55,214,35,8492,465,42452
