County,DEM,REP,LIB,OTH,UNA,NLM,GRN,TOTAL
Allegany,10812,23016,274,495,8730,63,56,43446
Anne Arundel,172652,129077,2491,3678,103458,699,465,412520
Baltimore City,298865,29211,1254,5020,63722,698,736,399506
Baltimore County,306847,139293,2699,6892,118059,864,711,575365
Calvert,23494,28397,452,630,16229,95,64,69361
Caroline,5936,10830,124,222,4791,31,26,21960
Carroll,33091,63932,853,1187,29928,122,137,129250
Cecil,19013,34984,481,810,16965,126,72,72451
Charles,75333,23363,448,1092,24603,160,109,125108
Dorchester,9551,9456,110,252,4257,30,16,23672
Frederick,78431,68686,1252,1468,52988,274,232,203331
Garrett,3451,13758,106,182,3010,24,18,20549
Harford,64081,80972,1281,2002,44122,276,164,192898
Howard,122630,48498,959,2148,61796,346,264,236641
Kent,5719,5411,71,126,2764,21,14,14126
Montgomery,403843,98946,2481,6031,170306,1053,855,683515
Prince George's,455749,40327,1648,11549,99412,1068,637,610390
Queen Anne's,11165,20302,237,328,8753,48,43,40876
Saint Mary's,24789,32638,517,726,17785,107,66,76628
Somerset,5326,6201,76,149,2514,19,17,14302
Talbot,10534,11597,174,242,5905,32,24,28508
Washington,30537,44553,662,985,23635,149,127,100648
Wicomico,25881,24188,381,798,14836,122,68,66274
Worcester,13586,19748,246,499,9070,56,42,43247,
