Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,132,2298,533,1923,614,116,772,353,645,73,1121,87,1171,1653,84,3725,1550,291,585,71,232,515,313,259
Day2,114,2396,485,2050,580,95,759,354,612,92,1218,62,1154,1759,81,3940,1744,330,642,35,217,458,325,202
Day3,61,1553,344,1533,344,57,475,197,398,50,899,64,755,1231,30,2816,1258,111,329,28,120,341,199,102
Day4,53,1490,319,1550,262,34,515,194,365,32,931,17,708,1017,10,2540,1112,105,329,29,89,333,186,98
Day5,120,2381,607,2213,517,91,760,371,594,68,1213,58,1198,1367,69,3583,1820,329,453,47,191,582,300,229
Day6,118,2674,681,2441,567,102,775,388,617,87,1193,58,1229,1512,59,4006,2094,291,487,46,174,588,335,216
