Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,31,486,188,534,146,27,184,91,188,17,249,42,263,372,16,705,549,69,178,17,54,106,77,37
Day2,40,619,223,697,187,38,245,107,291,24,342,29,358,480,22,1068,996,82,195,19,36,164,109,38
Day3,37,619,213,752,174,31,227,103,271,17,380,27,337,581,19,1251,920,57,182,5,37,193,83,46
Day4,22,654,249,806,147,24,253,105,229,37,394,19,308,552,3,1192,937,64,167,22,47,167,64,33
Day5,46,742,336,946,191,41,253,141,333,14,409,41,389,378,16,1130,1221,93,228,25,50,191,111,47
Day6,59,948,399,1118,184,38,312,171,321,28,402,39,490,479,28,1311,1337,123,239,30,53,247,133,50
