state,total_ppp_loans
Wyoming,25814
Wisconsin,191289
West Virginia,33708
Washington,197499
Virginia,225736
Vermont,21841
Utah,84758
Texas,964153
Tennessee,235988
S Dakota,64249
South Carolina,155611
Rhode Island,34871
Puerto Rico,70287
Pennsylvania,350057
Oregon,117001
Oklahoma,156481
Ohio,363684
N Dakota,51726
North Carolina,265384
New York,755588
New Mexico,41747
New Jersey,307838
New Hampshire,41200
Nevada,123331
Nebraska,114685
Montana,47270
Missouri,236703
Mississippi,143277
Minnesota,227872
Michigan,302092
Massachusetts,220374
Maryland,195869
Maine,47658
Louisiana,226588
Kentucky,130157
Kansas,127958
Iowa,172991
Indiana,191988
Illinois,650450
Idaho,52829
Hawaii,44890
Georgia,579632
Florida,1014494
District of Columbia,30399
Delaware,28623
Connecticut,119286
Colorado,194692
California,1302241
Arkansas,104693
Arizona,173598
Alaska,23889
Alabama,175215
