Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,642,6479,3293,8470,1813,548,2635,1457,2059,593,2836,611,4490,4208,466,9843,8899,1288,1670,382,1142,1849,1444,1027
Day2,514,4939,2273,6712,1110,328,1923,997,1334,396,2136,410,3309,3026,305,7463,6509,933,1086,238,869,1439,1077,842
Day3,192,1994,1030,2988,351,120,733,309,565,148,1010,128,1148,984,93,2925,3127,265,351,88,290,610,412,263
Day4,194,1839,853,3082,306,122,756,321,476,108,851,99,1037,839,84,2494,2322,200,361,105,258,524,365,273
Day5,457,3986,1936,5665,747,244,1654,916,1089,326,1859,285,2664,2032,267,5746,5399,727,819,208,574,1235,801,717
Day6,376,3534,1838,5162,652,204,1426,793,973,254,1629,241,2164,1843,177,5221,4811,557,661,217,482,1049,751,551
