Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,585,8012,4521,9953,2317,509,2891,1551,2959,531,3445,590,4787,5220,404,12114,12642,1359,2085,333,1023,1960,1481,911
Day2,563,7446,3756,9413,1865,409,2539,1315,2819,414,3307,424,4259,4728,312,11813,11809,1115,1900,236,839,1781,1283,817
Day3,279,4386,2350,5902,930,190,1434,655,1772,199,2223,198,2350,2769,138,7314,7384,433,919,126,383,1084,755,351
Day4,256,4088,2118,6076,860,185,1487,668,1467,193,2265,136,2080,2442,81,6760,6297,378,932,172,333,1039,603,378
Day5,547,7332,4153,9256,1550,382,2560,1326,2690,368,3330,359,4052,3993,286,10646,11834,1034,1496,259,672,1843,1141,794
Day6,492,7627,4454,9715,1468,363,2559,1344,2567,352,3224,386,3881,3901,258,10780,11809,940,1549,278,641,1783,1179,670
