Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,257,5958,6538,9898,1213,248,1228,639,3062,352,2200,199,2885,5234,336,13811,18289,650,1103,179,698,935,1032,413
Day2,233,5578,5350,9043,982,187,1151,515,2979,295,2202,130,2481,4710,221,13436,16432,507,982,124,570,837,875,423
Day3,138,3480,3273,5852,554,79,683,273,2055,140,1697,58,1380,2874,112,8722,10180,215,480,70,223,574,475,143
Day4,112,3083,2955,5543,514,84,659,281,1567,117,1499,33,1211,2496,81,7919,8328,210,470,86,212,496,395,188
Day5,194,5434,5800,8573,837,159,1012,518,2854,249,2085,91,2211,3923,200,11840,16301,448,843,146,391,777,754,368
Day6,213,5412,5881,8990,739,148,1003,524,2728,227,2165,93,2143,3701,184,11586,15897,407,801,155,376,852,734,322
