Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,594,6876,3008,7792,2090,473,2653,1449,2345,440,3112,572,4347,4347,311,10279,8700,1239,2091,293,881,1887,1234,854
Day2,510,6232,2443,7164,1716,383,2335,1233,2105,347,2935,406,3816,3939,253,9537,7703,1024,1857,245,710,1704,1166,761
Day3,271,3759,1496,4791,867,161,1333,602,1349,172,2130,206,2023,2441,108,6271,4875,379,872,119,305,1092,558,323
Day4,214,3334,1390,4358,665,165,1329,529,1001,154,1925,145,1771,2032,80,5560,3820,336,841,142,290,915,487,291
Day5,471,5941,2655,6990,1351,346,2172,1160,1854,296,2876,321,3510,3183,218,8333,7623,957,1408,200,552,1636,993,672
Day6,425,6116,2578,7140,1274,316,2235,1167,1787,289,2716,314,3199,3117,195,8327,7535,836,1351,213,501,1605,946,603
