Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester
Day1,778,6511,428,5735,2538,611,3493,1979,1556,538,3197,866,4995,2574,289,4650,1302,1632,2437,369,958,2358,1341,1067
Day2,717,5621,328,5316,1988,500,2907,1657,1291,361,2785,631,4338,2133,259,3791,1163,1279,2083,321,749,2162,1229,939
Day3,345,3058,196,3188,871,211,1573,777,647,177,1717,279,2181,1068,101,1940,707,473,966,142,339,1235,628,421
Day4,302,2796,216,3245,731,228,1611,715,518,196,1738,229,1884,932,69,1773,596,394,943,196,317,1105,502,374
Day5,694,5354,381,5289,1523,469,2902,1569,1064,340,2860,520,4061,1810,231,3415,1120,1195,1573,265,627,2088,1061,850
Day6,570,5532,431,5250,1401,425,2961,1557,967,318,2552,541,3615,1729,206,3336,1158,1057,1580,282,586,1921,1026,718
